# dt controlx controly u_esc u_steer dw wperiod gx gy gz ax ay az
0.010 0 0 0 0 0 0 -0.018642 0.000000 0.005326 -0.006348 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.017577 -0.001065 0.005326 -0.006348 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.019175 0.000000 0.005326 -0.006348 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.017577 -0.001065 0.005859 -0.006348 0.024902 1.011719
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.005326 -0.006348 0.024414 1.011719
0.010 0 0 0 0 0 0 -0.018109 0.000000 0.005859 -0.006836 0.024414 1.011719
0.010 0 0 0 0 0 0 -0.018642 0.000000 0.006392 -0.006348 0.024414 1.011719
0.010 0 0 0 0 0 0 -0.017577 -0.000533 0.005326 -0.006348 0.024902 1.011719
0.010 0 0 0 0 0 0 -0.018642 0.000000 0.005326 -0.006348 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.005859 -0.006348 0.024414 1.011719
0.010 0 0 0 0 0 0 -0.018642 0.000000 0.004794 -0.006836 0.024902 1.010742
0.010 0 0 0 0 0 0 -0.018642 -0.001065 0.004794 -0.006836 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.019175 -0.000533 0.005859 -0.006836 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.006392 -0.006836 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.005859 -0.006348 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018109 0.000000 0.006392 -0.006836 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018109 0.001065 0.006392 -0.006348 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018109 0.000000 0.005326 -0.005859 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018642 0.000000 0.005859 -0.005859 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018642 -0.001065 0.006392 -0.006348 0.024902 1.010742
0.010 0 0 0 0 0 0 -0.018642 -0.001065 0.006392 -0.005859 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.005859 -0.005859 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.005326 -0.005859 0.024902 1.010742
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.006392 -0.005859 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018642 0.000533 0.005326 -0.006348 0.024414 1.011719
0.010 0 0 0 0 0 0 -0.018642 -0.001065 0.005859 -0.005859 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.019175 0.000000 0.006392 -0.005859 0.024902 1.011719
0.010 0 0 0 0 0 0 -0.017577 0.000000 0.005326 -0.006348 0.024902 1.011719
0.010 0 0 0 0 0 0 -0.017577 -0.001065 0.005326 -0.006348 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.001065 0.005326 -0.006836 0.024902 1.011719
0.010 0 0 0 0 0 0 -0.018642 -0.001065 0.005326 -0.006836 0.024902 1.011719
0.010 0 0 0 0 0 0 -0.018109 0.000000 0.004794 -0.006836 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018642 0.000000 0.005326 -0.006348 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.006392 -0.006348 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.005859 -0.005859 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.017577 -0.000533 0.005326 -0.006348 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.005326 -0.006348 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.006924 -0.006836 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.005859 -0.006836 0.024902 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.005326 -0.006348 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.017577 -0.001065 0.005859 -0.006348 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.005859 -0.005859 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.018642 0.000000 0.004794 -0.006348 0.023926 1.011719
0.010 0 0 0 0 0 0 -0.017044 -0.000533 0.006392 -0.005859 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.017577 0.000000 0.006392 -0.005859 0.023926 1.011230
0.010 0 0 0 0 0 0 -0.018642 0.000000 0.005859 -0.006348 0.023926 1.011230
0.010 0 0 0 0 0 0 -0.019175 -0.000533 0.005326 -0.006348 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.005859 -0.006348 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.017044 -0.002131 0.004794 -0.006348 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.005859 -0.006348 0.024902 1.010742
0.010 0 0 0 0 0 0 -0.018109 -0.000533 0.006392 -0.006348 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018109 0.000000 0.004794 -0.005859 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.006392 -0.005859 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.018109 -0.001065 0.006392 -0.005859 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.017577 -0.002131 0.005326 -0.005859 0.024414 1.011719
0.010 0 0 0 0 0 0 -0.018642 -0.001065 0.005859 -0.005859 0.024414 1.011719
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.005859 -0.005859 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.005859 -0.005859 0.024414 1.011230
0.010 0 0 0 0 0 0 -0.019175 -0.000533 0.005859 -0.006348 0.023926 1.011230
0.010 0 0 0 0 0 0 -0.018642 -0.001065 0.005859 -0.006836 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018109 -0.001065 0.005859 -0.006348 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.017044 -0.000533 0.005326 -0.006836 0.024414 1.010742
0.010 0 0 0 0 0 0 -0.018642 -0.000533 0.005859 -0.006836 0.024902 1.010742
0.010 796 0 3 0 0 0 -0.019707 0.000533 0.005859 -0.006348 0.024414 1.010742
0.010 1710 0 6 0 0 0 -0.017577 -0.001065 0.005859 -0.006836 0.023926 1.011230
0.010 2068 0 8 0 0 0 -0.017044 -0.001065 0.005859 -0.006348 0.023926 1.011230
0.010 2068 0 8 0 0 0 -0.018109 -0.000533 0.005326 -0.006836 0.023926 1.011230
0.010 2307 0 9 0 0 0 -0.018109 -0.000533 0.005326 -0.007324 0.023926 1.011230
0.010 3063 0 11 0 0 0 -0.017577 -0.000533 0.004794 -0.006348 0.024414 1.010742
0.010 3063 0 11 0 0 0 -0.018642 0.000000 0.005326 -0.005859 0.024414 1.010742
0.010 3182 0 12 0 0 0 -0.017577 -0.000533 0.006392 -0.005859 0.024414 1.011230
0.010 3182 0 12 0 0 0 -0.019175 -0.000533 0.005859 -0.005859 0.024414 1.010742
0.010 3381 0 13 0 0 0 -0.018109 -0.001598 0.005859 -0.006348 0.023926 1.011719
0.010 3818 0 14 0 0 0 -0.018642 -0.003728 0.004261 -0.006836 0.024414 1.012695
0.010 3778 0 14 0 0 0 -0.016512 -0.011718 0.005326 -0.007812 0.025391 1.014648
0.010 3778 0 14 0 0 0 -0.017044 -0.012251 0.003196 -0.009766 0.022949 1.014648
0.010 3778 0 14 0 1 0 -0.025034 0.004261 0.005859 -0.003906 0.024902 1.003906
0.010 3778 0 14 0 0 0 -0.016512 -0.004261 0.006924 0.003906 0.024902 1.015137
0.010 3778 0 14 0 1 14815 -0.004261 -0.014914 0.007457 0.000977 0.026367 1.008789
0.010 3778 0 14 0 0 14815 -0.029295 0.010120 0.007457 -0.004883 0.027344 1.007324
0.010 3778 0 14 0 1 16323 -0.014914 0.003196 0.010120 -0.008301 0.024902 1.011719
0.010 3778 0 14 0 1 14794 -0.015979 0.002663 0.007457 -0.011230 0.026855 1.014648
0.010 3778 0 14 0 0 14794 -0.028230 0.002131 0.007457 -0.007812 0.022949 1.010254
0.010 3778 0 14 0 1 13334 -0.017577 0.000000 0.004794 -0.005859 0.022461 1.009766
0.010 3778 0 14 0 1 12532 -0.016512 -0.000533 0.004261 -0.000977 0.021973 1.011230
0.010 3778 0 14 0 1 11412 -0.023968 0.002131 0.002131 -0.003418 0.024414 1.011230
0.010 3778 0 14 0 1 10962 -0.015446 -0.001065 0.005326 -0.007812 0.023926 1.011719
0.010 3778 0 14 0 1 10584 -0.020240 -0.001065 0.006392 -0.005371 0.027832 1.011230
0.010 3858 0 15 0 1 9790 -0.024501 -0.002131 0.005326 -0.007324 0.024902 1.015625
0.010 3858 0 15 0 1 9669 -0.010120 -0.004794 0.003196 -0.007812 0.025391 1.011230
0.010 3858 0 15 0 1 9578 -0.028762 0.001065 0.002131 -0.003906 0.020508 1.010742
0.010 3858 0 15 0 1 9086 -0.018642 0.001065 0.002663 -0.003906 0.024414 1.013184
0.010 3858 0 15 0 1 8915 -0.017577 -0.004794 0.006924 -0.005859 0.025879 1.010742
0.010 3858 0 15 0 2 8329 -0.022371 0.000533 0.005859 -0.008301 0.024414 1.009766
0.010 3858 0 15 0 1 8210 -0.023436 0.002131 0.002131 -0.009277 0.022461 1.012695
0.010 3858 0 15 0 1 8231 -0.014381 -0.003196 0.001065 -0.007324 0.023438 1.010254
0.010 3858 0 15 0 1 7811 -0.026099 0.002131 0.006392 -0.007324 0.023438 1.011719
0.010 3858 0 15 0 2 7724 -0.010120 -0.000533 0.009055 -0.004883 0.022949 1.009277
0.010 3858 0 15 0 1 7410 -0.020773 0.002131 0.006924 -0.006836 0.023438 1.011230
0.010 3937 0 15 0 1 7347 -0.019707 -0.003196 0.007457 -0.006836 0.022949 1.010742
0.010 3937 0 15 0 2 7039 -0.017044 -0.000533 0.006392 -0.005859 0.023926 1.011719
0.010 3937 0 15 0 1 7019 -0.020773 0.002663 0.010120 -0.006836 0.023926 1.008789
0.010 3937 0 15 0 2 6820 -0.028230 0.004794 0.006392 -0.005859 0.021973 1.008789
0.010 4017 0 15 0 1 6758 -0.007989 -0.000533 0.003728 -0.005371 0.020996 1.010742
0.010 4096 0 16 0 2 6637 -0.018109 0.000000 0.002663 -0.007324 0.023438 1.012207
0.010 4176 0 16 0 1 6621 -0.011185 -0.001598 0.003196 -0.005859 0.027344 1.013184
0.010 4176 0 16 0 2 6483 -0.019175 -0.003196 0.011185 -0.003906 0.027832 1.012207
0.010 4176 0 16 0 1 6452 -0.021305 -0.003196 0.009055 -0.006348 0.025391 1.012207
0.010 4256 0 16 0 2 6329 -0.026099 -0.002663 0.004261 -0.006348 0.022949 1.009766
0.010 4256 0 16 0 1 6250 -0.020773 -0.001065 0.004261 -0.006348 0.023438 1.012207
0.010 4256 0 16 0 2 6098 -0.019175 0.000000 0.004794 -0.006348 0.024902 1.011719
0.010 4256 0 16 0 2 6153 -0.019707 0.000000 0.005859 -0.006836 0.024414 1.010742
0.010 4335 0 16 0 1 5985 -0.014381 0.001065 0.009587 -0.007812 0.025391 1.012695
0.010 4415 0 17 0 2 5975 -0.018109 0.001598 0.006924 -0.006836 0.022461 1.011719
0.010 4415 0 17 0 2 5742 -0.006392 -0.002131 0.007457 -0.003906 0.025879 1.010254
0.010 4494 0 17 0 1 5848 -0.009587 -0.002663 0.003728 -0.001465 0.023438 1.012207
0.010 4494 0 17 0 2 5610 -0.010120 -0.000533 0.000000 -0.008301 0.023926 1.012207
0.010 4494 0 17 0 2 5559 -0.009587 -0.004261 0.000533 -0.006836 0.029785 1.011230
0.010 4693 0 18 0 2 5617 -0.027164 0.000000 0.011185 -0.008301 0.027832 1.013672
0.010 4892 0 19 0 2 5395 -0.019175 -0.003196 0.011185 -0.006836 0.028809 1.010254
0.010 4892 0 19 0 1 5552 -0.029827 -0.002663 0.008522 -0.004395 0.025391 1.011230
0.010 4892 0 19 0 2 5299 -0.019175 0.002663 0.004794 -0.006348 0.020508 1.009766
0.010 5329 0 20 0 2 5207 -0.019175 0.001065 0.004261 -0.005859 0.021484 1.013184
0.010 5846 0 22 0 2 5264 -0.026099 0.000000 0.004794 -0.005859 0.021484 1.013184
0.010 5846 0 22 0 2 4993 -0.009587 0.001598 0.007989 -0.008301 0.019531 1.011719
0.010 5846 0 22 0 2 4875 -0.019707 0.003728 0.006924 -0.006836 0.019531 1.011230
0.010 5846 0 22 0 2 4954 -0.014914 0.002131 0.001065 -0.005859 0.018555 1.011719
0.010 5846 0 22 0 2 4695 0.002131 -0.000533 -0.003728 -0.009277 0.031250 1.006836
0.010 5846 0 22 0 3 4563 -0.027697 0.000533 0.008522 -0.009766 0.030762 1.014648
0.010 5846 0 22 0 2 4444 -0.018642 -0.006392 0.013848 -0.010254 0.035645 1.012695
0.010 5926 0 23 0 2 4470 -0.035154 -0.004794 0.011718 -0.004395 0.028809 1.012695
0.010 5926 0 23 0 2 4238 -0.018642 -0.004261 0.009587 -0.004883 0.025391 1.012207
0.010 5926 0 23 0 3 4142 -0.023968 0.002131 0.005326 -0.002930 0.020508 1.010254
0.010 5926 0 23 0 2 4022 0.003196 0.006392 0.010120 -0.007812 0.020996 1.007812
